categories,calories,weight,cal_per_weight
apple pie,296,125,2.368
baby back ribs,110,40,2.75
baklava,310,76,4.078947368
beef carpaccio,180,78,2.307692308
beef tartare,550,224,2.455357143
beet salad,600,258,2.325581395
beignets,260,90,2.888888889
bibimbap,972,864,1.125
bread pudding,380,200,1.9
breakfast burrito,660,308,2.142857143
bruschetta,70,35,2
caesar salad,481,357,1.347338936
cannoli,233,80,2.9125
caprese salad,220,161,1.366459627
carrot cake,577,173,3.335260116
ceviche,80,120,0.666666667
cheese plate,401,125,3.208
cheesecake,662,170,3.894117647
chicken curry,243,235,1.034042553
chicken quesadilla,1069,494,2.163967611
chicken wings,88,27,3.259259259
chocolate cake,424,109,3.889908257
chocolate mousse,202,460,0.439130435
churros,210,60,3.5
clam chowder,200,254,0.787401575
club sandwich,601,300,2.003333333
crab cakes,168,100,1.68
creme brulee,687,200,3.435
croque madame,721,363,1.986225895
cup cakes,370,100,3.7
deviled eggs,69,31,2.225806452
donuts,412,100,4.12
dumplings,124,100,1.24
edamame,200,182,1.098901099
eggs benedict,366.5,141,2.59929078
escargots,78,21,3.714285714
falafel,333,100,3.33
filet mignon,267,100,2.67
fish and_chips,688,513,1.341130604
foie gras,660,250,2.64
french fries,274,100,2.74
french onion soup,280,100,2.8
french toast,244,100,2.44
fried calamari,125,100,1.25
fried rice,168,100,1.68
frozen yogurt,107,100,1.07
garlic bread,330,100,3.3
gnocchi,254,127,2
greek salad,353,300,1.176666667
grilled cheese sandwich,350,100,3.5
grilled salmon,139,100,1.39
guacamole,154,116,1.327586207
gyoza,80,38,2.105263158
hamburger,540,226,2.389380531
hot and sour soup,37,100,0.37
hot dog,290,100,2.9
huevos rancheros,640,450,1.422222222
hummus,166,100,1.66
ice cream,210,100,2.1
lasagna,135,100,1.35
lobster bisque,50,100,0.5
lobster roll sandwich,82,85,0.964705882
macaroni and cheese,162,100,1.62
macarons,404,100,4.04
miso soup,35,120,0.291666667
mussels,172,100,1.72
nachos,305,100,3.05
omelette,153,100,1.53
onion rings,409,100,4.09
oysters,200,100,2
pad thai,840,495,1.696969697
paella,425,240,1.770833333
pancakes,227,100,2.27
panna cotta,397,122,3.254098361
peking duck,660,275,2.4
pho,646,710,0.909859155
pizza,266,100,2.66
pork chop,231,100,2.31
poutine,890,400,2.225
prime rib,325,85,3.823529412
pulled pork sandwich,532,304,1.75
ramen,436,100,4.36
ravioli,77,100,0.77
red velvet cake,370,110,3.363636364
risotto,174,100,1.74
samosa,262,100,2.62
sashimi,301,28,10.75
scallops,217,100,2.17
seaweed salad,106,93,1.139784946
shrimp and grits,358,240,1.491666667
spaghetti bolognese,146,100,1.46
spaghetti carbonara,191,100,1.91
spring rolls,148,64,2.3125
steak,252,100,2.52
strawberry shortcake,179,100,1.79
sushi,143,100,1.43
tacos,216,100,2.16
octopus balls,175,100,1.75
tiramisu,283,100,2.83
tuna tartare,206,100,2.06
waffles,291,100,2.91
